age,priors_count,juv_other_count,juv_fel_count,juv_misd_count,sex,race,two_year_recid
69,0,0,0,0,Male,Other,0
34,0,0,0,0,Male,African-American,1
24,4,1,0,0,Male,African-American,1
44,0,0,0,0,Male,Other,0
41,14,0,0,0,Male,Caucasian,1
43,3,0,0,0,Male,Other,0
39,0,0,0,0,Female,Caucasian,0
27,0,0,0,0,Male,Caucasian,0
23,3,0,0,0,Male,African-American,1
37,0,0,0,0,Female,Caucasian,0
41,0,0,0,0,Male,African-American,0
47,1,0,0,0,Female,Caucasian,1
31,7,0,0,0,Male,African-American,1
37,0,0,0,0,Male,Hispanic,0
25,3,0,0,0,Male,African-American,0
31,6,0,0,0,Male,Caucasian,1
31,5,0,0,0,Male,Caucasian,1
64,13,0,0,0,Male,African-American,1
21,1,0,0,0,Male,African-American,1
27,0,0,0,0,Male,Caucasian,1
21,0,0,0,0,Female,Caucasian,0
24,1,0,0,0,Male,Hispanic,1
43,1,0,0,0,Male,Caucasian,0
32,0,0,0,0,Male,Other,0
27,8,0,0,0,Male,African-American,1
26,5,1,0,0,Male,African-American,1
33,0,0,0,0,Male,African-American,1
30,9,0,0,0,Male,Caucasian,1
32,4,0,0,0,Male,African-American,1
55,0,0,0,0,Male,Caucasian,0
49,7,0,0,0,Male,Other,1
33,4,0,0,0,Female,Caucasian,1
24,1,0,0,0,Male,Caucasian,1
34,21,3,2,1,Male,African-American,1
29,0,0,0,0,Male,Caucasian,0
21,2,0,0,0,Female,African-American,0
51,2,0,0,0,Male,African-American,0
29,2,0,0,0,Male,Caucasian,1
51,7,0,0,0,Female,African-American,0
29,0,0,0,0,Male,African-American,1
25,9,0,0,0,Male,Caucasian,1
35,13,4,1,0,Male,African-American,1
49,0,0,0,0,Male,Caucasian,0
29,0,0,0,0,Male,African-American,0
29,1,0,0,0,Male,Caucasian,1
28,0,0,0,0,Female,Other,0
31,15,1,0,0,Male,African-American,0
24,2,0,0,0,Male,African-American,1
30,0,0,0,0,Male,Hispanic,0
49,4,0,0,0,Male,African-American,0
53,8,0,0,0,Male,Caucasian,0
35,5,0,0,0,Male,African-American,0
27,15,2,1,1,Male,African-American,1
38,4,0,0,0,Male,Caucasian,1
22,1,1,0,0,Male,African-American,1
29,4,0,0,0,Male,African-American,1
62,0,0,0,0,Male,Hispanic,0
27,6,0,0,1,Male,African-American,1
33,0,0,0,0,Male,Other,0
56,0,0,0,0,Female,African-American,0
45,6,0,0,0,Male,Hispanic,1
22,1,0,0,0,Male,Hispanic,0
39,1,0,0,0,Male,African-American,0
29,5,0,0,0,Male,African-American,1
27,1,1,0,0,Male,Caucasian,1
40,2,0,0,0,Male,African-American,0
22,1,0,0,0,Male,African-American,1
22,0,0,0,0,Male,Caucasian,0
26,1,0,0,0,Female,African-American,1
32,0,0,0,0,Male,African-American,0
41,1,0,0,0,Male,African-American,0
30,8,0,0,0,Male,African-American,1
50,0,0,0,0,Male,Other,1
25,14,1,1,6,Male,African-American,1
20,0,0,0,0,Male,Other,1
22,2,0,1,0,Male,African-American,1
35,1,0,0,0,Female,African-American,0
36,9,0,0,0,Male,African-American,1
26,7,0,0,0,Male,Caucasian,1
21,1,0,0,0,Male,Other,1
25,9,0,0,0,Male,Caucasian,1
20,0,0,0,0,Female,Caucasian,0
39,2,0,0,0,Male,Caucasian,1
54,0,0,0,0,Female,Caucasian,0
44,0,0,0,0,Female,Hispanic,0
19,1,0,0,0,Male,African-American,1
30,1,0,0,0,Male,African-American,0
39,0,0,0,0,Female,Caucasian,1
24,8,2,0,1,Male,Caucasian,1
30,0,0,0,0,Male,Caucasian,0
31,0,0,0,0,Male,Caucasian,0
39,1,0,0,0,Female,Caucasian,0
43,1,0,0,0,Male,Caucasian,0
21,3,0,0,0,Male,African-American,1
38,5,0,0,0,Male,Caucasian,1
34,0,0,0,0,Male,Caucasian,0
33,5,0,0,0,Male,African-American,1
37,3,0,0,0,Male,African-American,0
42,1,0,0,0,Male,Caucasian,1
41,10,0,0,1,Male,African-American,1
22,0,0,0,0,Male,African-American,1
33,28,2,0,12,Male,African-American,1
31,1,0,0,0,Male,African-American,0
30,1,0,0,0,Female,Other,0
31,13,0,0,0,Male,Caucasian,1
27,3,0,0,0,Male,African-American,1
52,3,0,0,0,Male,Caucasian,0
33,19,0,0,0,Male,African-American,1
42,6,0,0,0,Male,Caucasian,0
25,2,0,0,0,Female,Caucasian,0
30,1,0,0,0,Male,Caucasian,0
37,2,0,0,0,Female,Other,0
28,0,0,0,0,Male,Caucasian,1
24,0,0,0,0,Female,African-American,0
29,10,0,0,1,Female,Caucasian,1
44,2,0,0,0,Male,Caucasian,1
32,3,0,0,0,Male,African-American,1
31,2,0,0,0,Male,Caucasian,1
31,1,0,0,0,Male,African-American,0
59,1,0,0,0,Male,Caucasian,1
20,1,0,1,0,Female,African-American,0
43,0,0,0,0,Female,Caucasian,0
38,9,0,1,1,Male,African-American,1
32,11,0,0,0,Male,African-American,1
33,8,0,0,0,Male,African-American,1
31,0,0,0,0,Female,African-American,1
33,7,0,0,0,Female,African-American,1
27,2,0,0,0,Male,African-American,1
20,0,0,0,0,Female,African-American,0
26,0,0,0,0,Female,Caucasian,0
61,1,0,0,0,Female,African-American,1
52,13,0,0,0,Male,Other,1
63,1,0,0,0,Male,Hispanic,0
32,4,0,0,0,Female,African-American,1
29,1,0,0,0,Male,Hispanic,0
26,2,0,0,0,Female,African-American,1
39,1,0,1,0,Male,Caucasian,0
30,3,0,0,0,Female,Caucasian,1
30,1,0,0,0,Male,African-American,0
48,2,0,0,0,Male,Caucasian,0
22,1,0,0,0,Male,African-American,0
46,6,0,0,0,Male,Caucasian,1
31,0,0,0,0,Male,Caucasian,0
25,1,0,0,0,Male,African-American,1
23,0,0,0,0,Male,Hispanic,0
32,5,0,0,0,Female,African-American,0
52,2,0,0,0,Male,Hispanic,0
62,8,0,0,0,Male,African-American,0
31,8,0,0,0,Male,Hispanic,1
28,6,0,0,0,Male,African-American,1
54,2,0,0,0,Male,Hispanic,0
58,0,0,0,0,Male,Hispanic,0
78,1,0,0,0,Male,Caucasian,1
56,0,0,0,0,Male,Caucasian,0
24,0,0,0,0,Male,Other,0
22,1,0,0,0,Male,African-American,1
47,23,0,0,0,Male,African-American,1
23,0,0,0,0,Male,African-American,1
57,1,0,0,0,Male,Hispanic,0
66,3,0,0,0,Male,African-American,0
45,8,0,0,0,Male,Caucasian,1
37,2,0,0,0,Male,African-American,1
39,0,0,0,0,Male,Caucasian,1
26,9,0,0,0,Male,African-American,1
45,2,0,0,0,Male,Caucasian,0
23,0,0,0,0,Male,African-American,1
34,2,0,0,0,Male,African-American,0
23,1,0,0,0,Female,African-American,0
36,2,0,0,0,Male,Other,1
50,1,0,0,0,Male,Caucasian,0
37,0,0,0,0,Female,Caucasian,0
44,4,0,0,0,Male,Caucasian,0
35,23,0,0,1,Female,African-American,1
24,5,0,0,0,Male,Other,1
26,2,0,0,0,Male,African-American,1
27,0,0,0,0,Male,African-American,0
28,0,0,0,0,Female,African-American,0
28,7,0,0,0,Female,Caucasian,1
38,2,0,0,0,Male,African-American,0
28,1,0,0,0,Female,African-American,0
56,7,0,0,0,Male,Caucasian,1
38,15,0,0,0,Male,African-American,0
28,2,0,0,0,Male,African-American,0
51,0,0,0,0,Female,Caucasian,1
51,0,0,0,0,Male,Caucasian,0
36,1,0,0,0,Male,Other,1
48,0,0,0,0,Male,African-American,0
37,4,0,0,0,Male,Caucasian,1
30,2,0,0,0,Female,African-American,0
41,5,0,0,0,Female,African-American,0
27,11,0,0,0,Male,African-American,1
37,0,0,0,0,Male,African-American,0
33,4,0,0,0,Male,Other,1
54,11,0,0,0,Male,African-American,0
23,2,0,0,0,Male,African-American,0
41,0,0,0,0,Male,African-American,0
52,0,0,0,0,Male,Caucasian,0
43,13,0,0,0,Male,Caucasian,1
52,0,0,0,0,Male,African-American,0
28,1,0,0,0,Male,Caucasian,0
