age,c_charge_degree,age_cat,sex,priors_count,days_b_screening_arrest,length_of_stay,c_days_from_compas,juv_other_count,juv_fel_count,juv_misd_count,race,two_year_recid
69,F,Greater than 45,Male,0,-1,1,1,0,0,0,Other,0
34,F,25 - 45,Male,0,-1,10,1,0,0,0,African-American,1
24,F,Less than 25,Male,4,-1,1,1,1,0,0,African-American,1
44,M,25 - 45,Male,0,0,1,0,0,0,0,Other,0
41,F,25 - 45,Male,14,-1,6,1,0,0,0,Caucasian,1
43,F,25 - 45,Male,3,-1,1,1,0,0,0,Other,0
39,M,25 - 45,Female,0,-1,3,1,0,0,0,Caucasian,0
27,F,25 - 45,Male,0,-1,1,1,0,0,0,Caucasian,0
23,M,Less than 25,Male,3,0,4,0,0,0,0,African-American,1
37,M,25 - 45,Female,0,0,1,0,0,0,0,Caucasian,0
41,F,25 - 45,Male,0,-1,1,1,0,0,0,African-American,0
47,F,Greater than 45,Female,1,-20,14,490,0,0,0,Caucasian,1
31,F,25 - 45,Male,7,22,3,71,0,0,0,African-American,1
37,M,25 - 45,Male,0,0,0,0,0,0,0,Hispanic,0
25,F,25 - 45,Male,3,-1,1,1,0,0,0,African-American,0
31,F,25 - 45,Male,6,-1,1,1,0,0,0,Caucasian,1
31,F,25 - 45,Male,5,-1,1,1,0,0,0,Caucasian,1
64,F,Greater than 45,Male,13,-1,1,1,0,0,0,African-American,1
21,F,Less than 25,Male,1,-1,3,1,0,0,0,African-American,1
27,M,25 - 45,Male,0,0,0,0,0,0,0,Caucasian,1
21,F,Less than 25,Female,0,-2,1,2,0,0,0,Caucasian,0
24,F,Less than 25,Male,1,0,1,1,0,0,0,Hispanic,1
43,M,25 - 45,Male,1,-1,1,1,0,0,0,Caucasian,0
32,M,25 - 45,Male,0,-1,2,1,0,0,0,Other,0
27,F,25 - 45,Male,8,-1,17,1,0,0,0,African-American,1
26,F,25 - 45,Male,5,-1,1,1,1,0,0,African-American,1
33,F,25 - 45,Male,0,0,38,1,0,0,0,African-American,1
30,F,25 - 45,Male,9,0,44,0,0,0,0,Caucasian,1
32,F,25 - 45,Male,4,-1,1,1,0,0,0,African-American,1
55,F,Greater than 45,Male,0,-1,2,1,0,0,0,Caucasian,0
49,F,Greater than 45,Male,7,-1,4,0,0,0,0,Other,1
33,M,25 - 45,Female,4,-1,11,1,0,0,0,Caucasian,1
24,M,Less than 25,Male,1,0,1,0,0,0,0,Caucasian,1
34,F,25 - 45,Male,21,0,33,0,3,2,1,African-American,1
29,M,25 - 45,Male,0,0,0,1,0,0,0,Caucasian,0
21,F,Less than 25,Female,2,-1,80,1,0,0,0,African-American,0
51,M,Greater than 45,Male,2,-1,1,1,0,0,0,African-American,0
29,M,25 - 45,Male,2,-1,1,1,0,0,0,Caucasian,1
51,F,Greater than 45,Female,7,-1,2,1,0,0,0,African-American,0
29,F,25 - 45,Male,0,0,0,0,0,0,0,African-American,1
25,M,25 - 45,Male,9,-1,7,1,0,0,0,Caucasian,1
35,F,25 - 45,Male,13,-1,1,1,4,1,0,African-American,1
49,M,Greater than 45,Male,0,0,0,0,0,0,0,Caucasian,0
29,F,25 - 45,Male,0,0,0,1,0,0,0,African-American,0
29,F,25 - 45,Male,1,-24,0,24,0,0,0,Caucasian,1
28,F,25 - 45,Female,0,-1,1,1,0,0,0,Other,0
31,F,25 - 45,Male,15,-1,136,1,1,0,0,African-American,0
24,F,Less than 25,Male,2,-1,2,1,0,0,0,African-American,1
30,M,25 - 45,Male,0,0,23,0,0,0,0,Hispanic,0
49,M,Greater than 45,Male,4,-1,1,1,0,0,0,African-American,0
53,F,Greater than 45,Male,8,-13,13,13,0,0,0,Caucasian,0
35,F,25 - 45,Male,5,-1,1,1,0,0,0,African-American,0
27,F,25 - 45,Male,15,-1,1,1,2,1,1,African-American,1
38,M,25 - 45,Male,4,-1,2,1,0,0,0,Caucasian,1
22,F,Less than 25,Male,1,-1,1,1,1,0,0,African-American,1
29,F,25 - 45,Male,4,-1,19,1,0,0,0,African-American,1
62,M,Greater than 45,Male,0,0,0,1,0,0,0,Hispanic,0
